tag_pairs,count,category,neighbour
"['cs.AI', 'cs.LG']",11766,cs.LG,cs.AI
"['cs.CV', 'cs.LG']",7080,cs.LG,cs.CV
"['cs.LG', 'stat.ML']",6259,cs.LG,stat.ML
"['cs.CL', 'cs.LG']",3878,cs.LG,cs.CL
"['cs.CR', 'cs.LG']",2057,cs.LG,cs.CR
"['cs.LG', 'math.OC']",1821,cs.LG,math.OC
"['cs.LG', 'cs.RO']",1491,cs.LG,cs.RO
"['cs.LG', 'eess.IV']",1472,cs.LG,eess.IV
"['cs.CV', 'cs.LG']",7080,cs.CV,cs.LG
"['cs.AI', 'cs.CV']",5152,cs.CV,cs.AI
"['cs.CV', 'eess.IV']",3675,cs.CV,eess.IV
"['cs.CV', 'cs.RO']",1480,cs.CV,cs.RO
"['cs.CL', 'cs.CV']",1188,cs.CV,cs.CL
"['cs.CV', 'cs.GR']",803,cs.CV,cs.GR
"['cs.CV', 'cs.MM']",706,cs.CV,cs.MM
"['cs.CR', 'cs.CV']",514,cs.CV,cs.CR
"['cs.AI', 'cs.LG']",11766,cs.AI,cs.LG
"['cs.AI', 'cs.CL']",5358,cs.AI,cs.CL
"['cs.AI', 'cs.CV']",5152,cs.AI,cs.CV
"['cs.AI', 'cs.RO']",1684,cs.AI,cs.RO
"['cs.AI', 'cs.HC']",1068,cs.AI,cs.HC
"['cs.AI', 'stat.ML']",1044,cs.AI,stat.ML
"['cs.AI', 'cs.CY']",1023,cs.AI,cs.CY
"['cs.AI', 'cs.CR']",854,cs.AI,cs.CR
"['cs.AI', 'cs.CL']",5358,cs.CL,cs.AI
"['cs.CL', 'cs.LG']",3878,cs.CL,cs.LG
"['cs.CL', 'cs.CV']",1188,cs.CL,cs.CV
"['cs.CL', 'eess.AS']",1027,cs.CL,eess.AS
"['cs.CL', 'cs.SD']",874,cs.CL,cs.SD
"['cs.CL', 'cs.IR']",702,cs.CL,cs.IR
"['cs.CL', 'cs.CY']",486,cs.CL,cs.CY
"['cs.CL', 'cs.HC']",424,cs.CL,cs.HC
"['cs.AI', 'cs.RO']",1684,cs.RO,cs.AI
"['cs.LG', 'cs.RO']",1491,cs.RO,cs.LG
"['cs.CV', 'cs.RO']",1480,cs.RO,cs.CV
"['cs.RO', 'eess.SY']",989,cs.RO,eess.SY
"['cs.HC', 'cs.RO']",321,cs.RO,cs.HC
"['cs.MA', 'cs.RO']",297,cs.RO,cs.MA
"['cs.RO', 'math.OC']",181,cs.RO,math.OC
"['cs.CL', 'cs.RO']",119,cs.RO,cs.CL
"['cs.CR', 'cs.LG']",2057,cs.CR,cs.LG
"['cs.AI', 'cs.CR']",854,cs.CR,cs.AI
"['cs.CR', 'cs.CV']",514,cs.CR,cs.CV
"['cs.CR', 'cs.DC']",274,cs.CR,cs.DC
"['cs.CR', 'cs.CY']",252,cs.CR,cs.CY
"['cs.CR', 'cs.NI']",252,cs.CR,cs.NI
"['cs.CR', 'cs.SE']",250,cs.CR,cs.SE
"['cs.CR', 'quant-ph']",230,cs.CR,quant-ph
